titulo,data,hora,frase,sugestao
Story 1,06/03/2024,10:00,Por que os computadores nunca passam mal? Porque eles têm um bom anti-vírus!,Imagem de um computador
Story 2,07/03/2024,10:00,Por que os programadores preferem iOS? Porque no Android eles teriam que trabalhar com Java!,Imagem de um logo da Apple
Story 3,08/03/2024,10:00,"Você sabe qual é a piada do NOP? Não tem, porque ele não faz nada!",Imagem de um código de programação
Story 4,09/03/2024,10:00,Por que os programadores não gostam da natureza? Porque tem muitos bugs!,Imagem de um inseto
Story 5,10/03/2024,10:00,Por que os computadores se superaquecem? Porque eles têm muitos windows abertos!,Imagem de um computador superaquecido
Story 6,11/03/2024,10:00,Por que os programadores sempre misturam Natal e Halloween? Porque 31 OCT = 25 DEC!,Imagem de um calendário
Story 7,12/03/2024,10:00,Por que os programadores preferem o escuro? Porque a luz atrai bugs!,Imagem de um ambiente escuro
Story 8,13/03/2024,10:00,Por que os programadores não podem ser banqueiros? Porque eles perdem o interesse muito rápido!,Imagem de um banco
Story 9,14/03/2024,10:00,Por que os programadores sempre estão quebrados? Porque eles usam um linter para encontrar todo o seu dinheiro extra!,Imagem de um porquinho
Story 10,15/03/2024,10:00,Por que os programadores não jogam xadrez? Porque eles têm medo de cavalos de Tróia!,Imagem de um tabuleiro de xadrez
Story 11,16/03/2024,10:00,Por que os programadores não usam canetas? Porque elas têm um ponto fraco!,Imagem de uma caneta quebrada
Story 12,17/03/2024,10:00,Por que os programadores não gostam de espaços? Porque eles sempre preferem tabs!,Imagem de um teclado
Story 13,18/03/2024,10:00,Por que os programadores não vão ao zoológico? Porque eles preferem Python em casa!,Imagem de uma cobra python
Story 14,19/03/2024,10:00,Por que os programadores não gostam de café? Porque eles preferem Java!,Imagem de uma xícara de café
Story 15,20/03/2024,10:00,Por que os programadores não gostam de pessoas? Porque elas têm muitos bugs!,Imagem de um grupo de pessoas